Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9650,0.9660,0.9968,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9790,0.9792,0.9979,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9650,0.9648,0.9958,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9825,0.9837,0.9963,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9650,0.9653,0.9946,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9650,0.9650,0.9933,"{'C': 1, 'max_iter': 10000}"
Logistic Regression,7,0.9790,0.9786,0.9982,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9860,0.9863,0.9971,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9755,0.9778,0.9953,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9930,0.9930,0.9965,"{'C': 10, 'max_iter': 10000}"
